seasondoubleyear,Team_Name,Team_ID,season,SeasonStartYear,SeasonEndYear,coach,school,coachtenure,totalgames,totalwins,totallosses,seasonwinpercentage,ncaavisits,ncaavisit,regseasonchamp,ncaachamp
2010-2011,Jacksonville,1239,2010-11,2010,2011,"Cliff Warren",Jacksonville,5,32,20,12,0.6250,1,0,0,0
2011-2012,Jacksonville,1239,2011-12,2011,2012,"Cliff Warren",Jacksonville,6,30,8,22,0.2667,1,0,0,0
2012-2013,Jacksonville,1239,2012-13,2012,2013,"Cliff Warren",Jacksonville,7,32,14,18,0.4375,1,0,0,0
2013-2014,Jacksonville,1239,2013-14,2013,2014,"Cliff Warren",Jacksonville,8,30,12,18,0.4000,1,0,0,0
1975-1976,Jacksonville,1239,1975-76,1975,1976,"Don Beasley",Jacksonville,0,26,13,13,0.5000,0,0,0,0
1976-1977,Jacksonville,1239,1976-77,1976,1977,"Don Beasley",Jacksonville,1,29,10,19,0.3448,0,0,0,0
1977-1978,Jacksonville,1239,1977-78,1977,1978,"Don Beasley",Jacksonville,2,28,14,14,0.5000,0,0,0,0
2004-2005,"James Madison",1241,2004-05,2004,2005,"Dean Keener","James Madison",0,28,6,22,0.2143,0,0,0,0
2005-2006,"James Madison",1241,2005-06,2005,2006,"Dean Keener","James Madison",1,28,5,23,0.1786,0,0,0,0
2006-2007,"James Madison",1241,2006-07,2006,2007,"Dean Keener","James Madison",2,30,7,23,0.2333,0,0,0,0
2007-2008,"James Madison",1241,2007-08,2007,2008,"Dean Keener","James Madison",3,30,13,17,0.4333,0,0,0,0
1990-1991,"Kansas St",1243,1990-91,1990,1991,"Dana Altman","Kansas State",1,28,13,15,0.4643,0,0,0,0
1991-1992,"Kansas St",1243,1991-92,1991,1992,"Dana Altman","Kansas State",2,30,16,14,0.5333,0,0,0,0
1992-1993,"Kansas St",1243,1992-93,1992,1993,"Dana Altman","Kansas State",3,30,19,11,0.6333,0,1,0,0
1993-1994,"Kansas St",1243,1993-94,1993,1994,"Dana Altman","Kansas State",4,34,20,14,0.5882,1,0,0,0
1992-1993,Kent,1245,1992-93,1992,1993,"Dave Grube","Kent State",0,27,10,17,0.3704,0,0,0,0
1993-1994,Kent,1245,1993-94,1993,1994,"Dave Grube","Kent State",1,27,13,14,0.4815,0,0,0,0
1994-1995,Kent,1245,1994-95,1994,1995,"Dave Grube","Kent State",2,27,8,19,0.2963,0,0,0,0
1995-1996,Kent,1245,1995-96,1995,1996,"Dave Grube","Kent State",3,27,14,13,0.5185,0,0,0,0
1951-1952,Lafayette,1248,1951-52,1951,1952,"Butch van Breda Kolff",Lafayette,0,24,15,9,0.6250,0,0,1,0
1952-1953,Lafayette,1248,1952-53,1952,1953,"Butch van Breda Kolff",Lafayette,1,25,13,12,0.5200,0,0,0,0
1953-1954,Lafayette,1248,1953-54,1953,1954,"Butch van Breda Kolff",Lafayette,2,27,17,10,0.6296,0,0,0,0
1954-1955,Lafayette,1248,1954-55,1954,1955,"Butch van Breda Kolff",Lafayette,3,26,23,3,0.8846,0,0,0,0
1984-1985,Lafayette,1248,1984-85,1984,1985,"Butch van Breda Kolff",Lafayette,33,28,15,13,0.5357,4,0,0,0
1985-1986,Lafayette,1248,1985-86,1985,1986,"Butch van Breda Kolff",Lafayette,34,29,14,15,0.4828,4,0,0,0
1986-1987,Lafayette,1248,1986-87,1986,1987,"Butch van Breda Kolff",Lafayette,35,29,16,13,0.5517,4,0,0,0
1987-1988,Lafayette,1248,1987-88,1987,1988,"Butch van Breda Kolff",Lafayette,36,29,19,10,0.6552,4,0,1,0
1988-1989,Lehigh,1250,1988-89,1988,1989,"Dave Duke",Lehigh,0,28,10,18,0.3571,0,0,0,0
1989-1990,Lehigh,1250,1989-90,1989,1990,"Dave Duke",Lehigh,1,30,18,12,0.6000,0,0,1,0
1990-1991,Lehigh,1250,1990-91,1990,1991,"Dave Duke",Lehigh,2,29,19,10,0.6552,0,0,0,0
1991-1992,Lehigh,1250,1991-92,1991,1992,"Dave Duke",Lehigh,3,29,14,15,0.4828,0,0,0,0
1992-1993,Lehigh,1250,1992-93,1992,1993,"Dave Duke",Lehigh,4,27,4,23,0.1481,0,0,0,0
1993-1994,Lehigh,1250,1993-94,1993,1994,"Dave Duke",Lehigh,5,27,10,17,0.3704,0,0,0,0
1994-1995,Lehigh,1250,1994-95,1994,1995,"Dave Duke",Lehigh,6,27,11,16,0.4074,0,0,0,0
1995-1996,Lehigh,1250,1995-96,1995,1996,"Dave Duke",Lehigh,7,27,4,23,0.1481,0,0,0,0
2009-2010,Liberty,1251,2009-10,2009,2010,"Dale Layer",Liberty,9,31,15,16,0.4839,1,0,0,0
2010-2011,Liberty,1251,2010-11,2010,2011,"Dale Layer",Liberty,10,32,19,13,0.5938,1,0,0,0
2011-2012,Liberty,1251,2011-12,2011,2012,"Dale Layer",Liberty,11,32,14,18,0.4375,1,0,0,0
2012-2013,Liberty,1251,2012-13,2012,2013,"Dale Layer",Liberty,12,36,15,21,0.4167,1,1,0,1
2013-2014,Liberty,1251,2013-14,2013,2014,"Dale Layer",Liberty,13,32,11,21,0.3438,2,0,0,0
2014-2015,Liberty,1251,2014-15,2014,2015,"Dale Layer",Liberty,14,32,8,24,0.2500,2,0,0,0
2013-2014,Lipscomb,1252,2013-14,2013,2014,"Casey Alexander",Lipscomb,2,30,15,15,0.5000,0,0,0,0
2014-2015,Lipscomb,1252,2014-15,2014,2015,"Casey Alexander",Lipscomb,3,31,14,17,0.4516,0,0,0,0
2015-2016,Lipscomb,1252,2015-16,2015,2016,"Casey Alexander",Lipscomb,4,30,11,19,0.3667,0,0,0,0
2007-2008,"Long Beach St",1253,2007-08,2007,2008,"Dan Monson","Long Beach State",10,31,6,25,0.1935,2,0,0,0
2008-2009,"Long Beach St",1253,2008-09,2008,2009,"Dan Monson","Long Beach State",11,30,15,15,0.5000,2,0,0,0
2009-2010,"Long Beach St",1253,2009-10,2009,2010,"Dan Monson","Long Beach State",12,33,17,16,0.5152,2,0,0,0
2010-2011,"Long Beach St",1253,2010-11,2010,2011,"Dan Monson","Long Beach State",13,34,22,12,0.6471,2,0,1,0
2011-2012,"Long Beach St",1253,2011-12,2011,2012,"Dan Monson","Long Beach State",14,34,25,9,0.7353,2,1,1,1
2012-2013,"Long Beach St",1253,2012-13,2012,2013,"Dan Monson","Long Beach State",15,33,19,14,0.5758,3,0,1,0
2013-2014,"Long Beach St",1253,2013-14,2013,2014,"Dan Monson","Long Beach State",16,32,15,17,0.4688,3,0,0,0
2014-2015,"Long Beach St",1253,2014-15,2014,2015,"Dan Monson","Long Beach State",17,33,16,17,0.4848,3,0,0,0
2015-2016,"Long Beach St",1253,2015-16,2015,2016,"Dan Monson","Long Beach State",18,27,15,12,0.5556,3,0,0,0
1983-1984,"Long Beach St",1253,1983-84,1983,1984,"Dave Buss","Long Beach State",2,28,9,19,0.3214,0,0,0,0
2007-2008,LSU,1261,2007-08,2007,2008,"Butch Pierre","Louisiana State",0,10,5,5,0.5000,0,0,0,0
1972-1973,LSU,1261,1972-73,1972,1973,"Dale Brown","Louisiana State",0,24,14,10,0.5833,0,0,0,0
1973-1974,LSU,1261,1973-74,1973,1974,"Dale Brown","Louisiana State",1,26,12,14,0.4615,0,0,0,0
1974-1975,LSU,1261,1974-75,1974,1975,"Dale Brown","Louisiana State",2,26,10,16,0.3846,0,0,0,0
1975-1976,LSU,1261,1975-76,1975,1976,"Dale Brown","Louisiana State",3,26,12,14,0.4615,0,0,0,0
1976-1977,LSU,1261,1976-77,1976,1977,"Dale Brown","Louisiana State",4,27,15,12,0.5556,0,0,0,0
1977-1978,LSU,1261,1977-78,1977,1978,"Dale Brown","Louisiana State",5,27,18,9,0.6667,0,0,0,0
1978-1979,LSU,1261,1978-79,1978,1979,"Dale Brown","Louisiana State",6,29,23,6,0.7931,0,1,1,0
1979-1980,LSU,1261,1979-80,1979,1980,"Dale Brown","Louisiana State",7,32,26,6,0.8125,1,1,0,1
1980-1981,LSU,1261,1980-81,1980,1981,"Dale Brown","Louisiana State",8,36,31,5,0.8611,2,1,1,0
1981-1982,LSU,1261,1981-82,1981,1982,"Dale Brown","Louisiana State",9,28,14,14,0.5000,3,0,0,0
1982-1983,LSU,1261,1982-83,1982,1983,"Dale Brown","Louisiana State",10,32,19,13,0.5938,3,0,0,0
1983-1984,LSU,1261,1983-84,1983,1984,"Dale Brown","Louisiana State",11,29,18,11,0.6207,3,1,0,0
1984-1985,LSU,1261,1984-85,1984,1985,"Dale Brown","Louisiana State",12,29,19,10,0.6552,4,1,1,0
1985-1986,LSU,1261,1985-86,1985,1986,"Dale Brown","Louisiana State",13,38,26,12,0.6842,5,1,0,0
1986-1987,LSU,1261,1986-87,1986,1987,"Dale Brown","Louisiana State",14,39,24,15,0.6154,6,1,0,0
1987-1988,LSU,1261,1987-88,1987,1988,"Dale Brown","Louisiana State",15,30,16,14,0.5333,7,1,0,0
1988-1989,LSU,1261,1988-89,1988,1989,"Dale Brown","Louisiana State",16,32,20,12,0.6250,8,1,0,0
1989-1990,LSU,1261,1989-90,1989,1990,"Dale Brown","Louisiana State",17,32,23,9,0.7188,9,1,0,0
1990-1991,LSU,1261,1990-91,1990,1991,"Dale Brown","Louisiana State",18,30,20,10,0.6667,10,1,1,0
1991-1992,LSU,1261,1991-92,1991,1992,"Dale Brown","Louisiana State",19,31,21,10,0.6774,11,1,0,0
1992-1993,LSU,1261,1992-93,1992,1993,"Dale Brown","Louisiana State",20,33,22,11,0.6667,12,1,0,0
1993-1994,LSU,1261,1993-94,1993,1994,"Dale Brown","Louisiana State",21,27,11,16,0.4074,13,0,0,0
1994-1995,LSU,1261,1994-95,1994,1995,"Dale Brown","Louisiana State",22,27,12,15,0.4444,13,0,0,0
1995-1996,LSU,1261,1995-96,1995,1996,"Dale Brown","Louisiana State",23,29,12,17,0.4138,13,0,0,0
1996-1997,LSU,1261,1996-97,1996,1997,"Dale Brown","Louisiana State",24,30,10,20,0.3333,13,0,0,0
1971-1972,Louisville,1257,1971-72,1971,1972,"Denny Crum",Louisville,0,31,26,5,0.8387,0,1,1,0
1972-1973,Louisville,1257,1972-73,1972,1973,"Denny Crum",Louisville,1,30,23,7,0.7667,1,0,0,0
1973-1974,Louisville,1257,1973-74,1973,1974,"Denny Crum",Louisville,2,28,21,7,0.7500,1,1,1,0
1974-1975,Louisville,1257,1974-75,1974,1975,"Denny Crum",Louisville,3,31,28,3,0.9032,2,1,1,0
1975-1976,Louisville,1257,1975-76,1975,1976,"Denny Crum",Louisville,4,28,20,8,0.7143,3,0,0,0
1976-1977,Louisville,1257,1976-77,1976,1977,"Denny Crum",Louisville,5,28,21,7,0.7500,3,1,1,0
1977-1978,Louisville,1257,1977-78,1977,1978,"Denny Crum",Louisville,6,30,23,7,0.7667,4,1,0,1
1978-1979,Louisville,1257,1978-79,1978,1979,"Denny Crum",Louisville,7,32,24,8,0.7500,5,1,1,0
1979-1980,Louisville,1257,1979-80,1979,1980,"Denny Crum",Louisville,8,36,33,3,0.9167,6,1,1,1
1980-1981,Louisville,1257,1980-81,1980,1981,"Denny Crum",Louisville,9,30,21,9,0.7000,7,1,1,1
1981-1982,Louisville,1257,1981-82,1981,1982,"Denny Crum",Louisville,10,33,23,10,0.6970,8,1,0,0
1982-1983,Louisville,1257,1982-83,1982,1983,"Denny Crum",Louisville,11,36,32,4,0.8889,9,1,1,1
1983-1984,Louisville,1257,1983-84,1983,1984,"Denny Crum",Louisville,12,35,24,11,0.6857,10,1,1,0
1984-1985,Louisville,1257,1984-85,1984,1985,"Denny Crum",Louisville,13,37,19,18,0.5135,11,0,0,0
1985-1986,Louisville,1257,1985-86,1985,1986,"Denny Crum",Louisville,14,39,32,7,0.8205,11,1,1,1
1986-1987,Louisville,1257,1986-87,1986,1987,"Denny Crum",Louisville,15,32,18,14,0.5625,12,0,1,0
1987-1988,Louisville,1257,1987-88,1987,1988,"Denny Crum",Louisville,16,35,24,11,0.6857,12,1,1,1
1988-1989,Louisville,1257,1988-89,1988,1989,"Denny Crum",Louisville,17,33,24,9,0.7273,13,1,0,1
1989-1990,Louisville,1257,1989-90,1989,1990,"Denny Crum",Louisville,18,35,27,8,0.7714,14,1,1,1
1990-1991,Louisville,1257,1990-91,1990,1991,"Denny Crum",Louisville,19,30,14,16,0.4667,15,0,0,0
1991-1992,Louisville,1257,1991-92,1991,1992,"Denny Crum",Louisville,20,30,19,11,0.6333,15,1,0,0
1992-1993,Louisville,1257,1992-93,1992,1993,"Denny Crum",Louisville,21,31,22,9,0.7097,16,1,1,1
1993-1994,Louisville,1257,1993-94,1993,1994,"Denny Crum",Louisville,22,34,28,6,0.8235,17,1,1,1
1994-1995,Louisville,1257,1994-95,1994,1995,"Denny Crum",Louisville,23,33,19,14,0.5758,18,1,0,1
1995-1996,Louisville,1257,1995-96,1995,1996,"Denny Crum",Louisville,24,34,22,12,0.6471,19,1,0,0
1996-1997,Louisville,1257,1996-97,1996,1997,"Denny Crum",Louisville,25,35,26,9,0.7429,20,1,0,0
1997-1998,Louisville,1257,1997-98,1997,1998,"Denny Crum",Louisville,26,32,12,20,0.3750,21,0,0,0
1998-1999,Louisville,1257,1998-99,1998,1999,"Denny Crum",Louisville,27,30,19,11,0.6333,21,1,0,0
1999-1900,Louisville,1257,1999-00,1999,1900,"Denny Crum",Louisville,28,31,19,12,0.6129,22,1,0,0
2000-2001,Louisville,1257,2000-01,2000,2001,"Denny Crum",Louisville,29,31,12,19,0.3871,23,0,0,0
1997-1998,"Loyola MD",1259,1997-98,1997,1998,"Dino Gaudio","Loyola (MD)",4,28,12,16,0.4286,0,0,0,0
1998-1999,"Loyola MD",1259,1998-99,1998,1999,"Dino Gaudio","Loyola (MD)",5,28,13,15,0.4643,0,0,0,0
1999-1900,"Loyola MD",1259,1999-00,1999,1900,"Dino Gaudio","Loyola (MD)",6,28,7,21,0.2500,0,0,0,0
1986-1987,Manhattan,1264,1986-87,1986,1987,"Delle Bovi",Manhattan,0,27,6,21,0.2222,0,0,0,0
1987-1988,Manhattan,1264,1987-88,1987,1988,"Delle Bovi",Manhattan,1,30,7,23,0.2333,0,0,0,0
2008-2009,Marist,1265,2008-09,2008,2009,"Chuck Martin",Marist,0,33,10,23,0.3030,0,0,0,0
2009-2010,Marist,1265,2009-10,2009,2010,"Chuck Martin",Marist,1,30,1,29,0.0333,0,0,0,0
2010-2011,Marist,1265,2010-11,2010,2011,"Chuck Martin",Marist,2,33,6,27,0.1818,0,0,0,0
2011-2012,Marist,1265,2011-12,2011,2012,"Chuck Martin",Marist,3,32,14,18,0.4375,0,0,0,0
2012-2013,Marist,1265,2012-13,2012,2013,"Chuck Martin",Marist,4,31,10,21,0.3226,0,0,0,0
1986-1987,Marist,1265,1986-87,1986,1987,"Dave Magarity",Marist,8,30,20,10,0.6667,0,1,1,1
1987-1988,Marist,1265,1987-88,1987,1988,"Dave Magarity",Marist,9,27,18,9,0.6667,1,0,1,0
1988-1989,Marist,1265,1988-89,1988,1989,"Dave Magarity",Marist,10,28,13,15,0.4643,1,0,0,0
1989-1990,Marist,1265,1989-90,1989,1990,"Dave Magarity",Marist,11,28,17,11,0.6071,1,0,0,0
1990-1991,Marist,1265,1990-91,1990,1991,"Dave Magarity",Marist,12,28,6,22,0.2143,1,0,0,0
1991-1992,Marist,1265,1991-92,1991,1992,"Dave Magarity",Marist,13,30,10,20,0.3333,1,0,0,0
1992-1993,Marist,1265,1992-93,1992,1993,"Dave Magarity",Marist,14,30,14,16,0.4667,1,0,0,0
1993-1994,Marist,1265,1993-94,1993,1994,"Dave Magarity",Marist,15,27,14,13,0.5185,1,0,0,0
1994-1995,Marist,1265,1994-95,1994,1995,"Dave Magarity",Marist,16,28,17,11,0.6071,1,0,0,0
1995-1996,Marist,1265,1995-96,1995,1996,"Dave Magarity",Marist,17,29,22,7,0.7586,1,0,0,0
1996-1997,Marist,1265,1996-97,1996,1997,"Dave Magarity",Marist,18,28,6,22,0.2143,1,0,0,0
1997-1998,Marist,1265,1997-98,1997,1998,"Dave Magarity",Marist,19,28,11,17,0.3929,1,0,0,0
1998-1999,Marist,1265,1998-99,1998,1999,"Dave Magarity",Marist,20,28,16,12,0.5714,1,0,0,0
1999-1900,Marist,1265,1999-00,1999,1900,"Dave Magarity",Marist,21,28,14,14,0.5000,1,0,0,0
2000-2001,Marist,1265,2000-01,2000,2001,"Dave Magarity",Marist,22,30,17,13,0.5667,1,0,0,0
2001-2002,Marist,1265,2001-02,2001,2002,"Dave Magarity",Marist,23,28,19,9,0.6786,1,0,1,0
2002-2003,Marist,1265,2002-03,2002,2003,"Dave Magarity",Marist,24,29,13,16,0.4483,1,0,0,0
2003-2004,Marist,1265,2003-04,2003,2004,"Dave Magarity",Marist,25,28,6,22,0.2143,1,0,0,0
2008-2009,Marquette,1266,2008-09,2008,2009,"Buzz Williams",Marquette,2,35,25,10,0.7143,0,1,0,0
2009-2010,Marquette,1266,2009-10,2009,2010,"Buzz Williams",Marquette,3,34,22,12,0.6471,1,1,0,0
2010-2011,Marquette,1266,2010-11,2010,2011,"Buzz Williams",Marquette,4,37,22,15,0.5946,2,1,0,0
2011-2012,Marquette,1266,2011-12,2011,2012,"Buzz Williams",Marquette,5,35,27,8,0.7714,3,1,0,0
2012-2013,Marquette,1266,2012-13,2012,2013,"Buzz Williams",Marquette,6,35,26,9,0.7429,4,1,1,0
2013-2014,Marquette,1266,2013-14,2013,2014,"Buzz Williams",Marquette,7,32,17,15,0.5313,5,0,0,0
1971-1972,Marshall,1267,1971-72,1971,1972,"Carl Tacy",Marshall,0,27,23,4,0.8519,0,1,0,0
1989-1990,Marshall,1267,1989-90,1989,1990,"Dana Altman",Marshall,0,28,15,13,0.5357,0,0,0,0
2007-2008,Marshall,1267,2007-08,2007,2008,"Donnie Jones",Marshall,0,30,16,14,0.5333,0,0,0,0
2008-2009,Marshall,1267,2008-09,2008,2009,"Donnie Jones",Marshall,1,32,15,17,0.4688,0,0,0,0
2009-2010,Marshall,1267,2009-10,2009,2010,"Donnie Jones",Marshall,2,34,24,10,0.7059,0,0,0,0
2008-2009,Massachusetts,1269,2008-09,2008,2009,"Derek Kellogg",Massachusetts,0,30,12,18,0.4000,0,0,0,0
2009-2010,Massachusetts,1269,2009-10,2009,2010,"Derek Kellogg",Massachusetts,1,32,12,20,0.3750,0,0,0,0
2010-2011,Massachusetts,1269,2010-11,2010,2011,"Derek Kellogg",Massachusetts,2,30,15,15,0.5000,0,0,0,0
2011-2012,Massachusetts,1269,2011-12,2011,2012,"Derek Kellogg",Massachusetts,3,37,25,12,0.6757,0,0,0,0
2012-2013,Massachusetts,1269,2012-13,2012,2013,"Derek Kellogg",Massachusetts,4,33,21,12,0.6364,0,0,0,0
2013-2014,Massachusetts,1269,2013-14,2013,2014,"Derek Kellogg",Massachusetts,5,33,24,9,0.7273,0,1,0,0
2014-2015,Massachusetts,1269,2014-15,2014,2015,"Derek Kellogg",Massachusetts,6,32,17,15,0.5313,1,0,0,0
2015-2016,Massachusetts,1269,2015-16,2015,2016,"Derek Kellogg",Massachusetts,7,25,11,14,0.4400,1,0,0,0
1979-1980,Memphis,1272,1979-80,1979,1980,"Dana Kirk",Memphis,3,27,13,14,0.4815,0,0,0,0
1980-1981,Memphis,1272,1980-81,1980,1981,"Dana Kirk",Memphis,4,27,13,14,0.4815,0,0,0,0
1981-1982,Memphis,1272,1981-82,1981,1982,"Dana Kirk",Memphis,5,29,24,5,0.8276,0,1,1,1
1982-1983,Memphis,1272,1982-83,1982,1983,"Dana Kirk",Memphis,6,31,23,8,0.7419,1,1,0,0
1983-1984,Memphis,1272,1983-84,1983,1984,"Dana Kirk",Memphis,7,33,26,7,0.7879,2,1,1,1
1984-1985,Memphis,1272,1984-85,1984,1985,"Dana Kirk",Memphis,8,35,31,4,0.8857,3,1,1,1
1985-1986,Memphis,1272,1985-86,1985,1986,"Dana Kirk",Memphis,9,34,28,6,0.8235,4,1,0,0
1996-1997,"Miami OH",1275,1996-97,1996,1997,"Charlie Coles","Miami (OH)",11,30,21,9,0.7000,1,1,1,1
1997-1998,"Miami OH",1275,1997-98,1997,1998,"Charlie Coles","Miami (OH)",12,29,17,12,0.5862,2,0,0,0
1998-1999,"Miami OH",1275,1998-99,1998,1999,"Charlie Coles","Miami (OH)",13,32,24,8,0.7500,2,1,1,0
1999-1900,"Miami OH",1275,1999-00,1999,1900,"Charlie Coles","Miami (OH)",14,30,15,15,0.5000,3,0,0,0
2000-2001,"Miami OH",1275,2000-01,2000,2001,"Charlie Coles","Miami (OH)",15,33,17,16,0.5152,3,0,0,0
2001-2002,"Miami OH",1275,2001-02,2001,2002,"Charlie Coles","Miami (OH)",16,31,13,18,0.4194,3,0,0,0
2002-2003,"Miami OH",1275,2002-03,2002,2003,"Charlie Coles","Miami (OH)",17,28,13,15,0.4643,3,0,0,0
2003-2004,"Miami OH",1275,2003-04,2003,2004,"Charlie Coles","Miami (OH)",18,29,18,11,0.6207,3,0,0,0
2004-2005,"Miami OH",1275,2004-05,2004,2005,"Charlie Coles","Miami (OH)",19,30,19,11,0.6333,3,0,1,0
2005-2006,"Miami OH",1275,2005-06,2005,2006,"Charlie Coles","Miami (OH)",20,29,18,11,0.6207,3,0,0,0
2006-2007,"Miami OH",1275,2006-07,2006,2007,"Charlie Coles","Miami (OH)",21,33,18,15,0.5455,3,1,0,1
2007-2008,"Miami OH",1275,2007-08,2007,2008,"Charlie Coles","Miami (OH)",22,33,17,16,0.5152,4,0,0,0
2008-2009,"Miami OH",1275,2008-09,2008,2009,"Charlie Coles","Miami (OH)",23,30,17,13,0.5667,4,0,0,0
2009-2010,"Miami OH",1275,2009-10,2009,2010,"Charlie Coles","Miami (OH)",24,32,14,18,0.4375,4,0,0,0
2010-2011,"Miami OH",1275,2010-11,2010,2011,"Charlie Coles","Miami (OH)",25,33,16,17,0.4848,4,0,0,0
2011-2012,"Miami OH",1275,2011-12,2011,2012,"Charlie Coles","Miami (OH)",26,30,9,21,0.3000,4,0,0,0
1970-1971,"Miami OH",1275,1970-71,1970,1971,"Darrell Hedric","Miami (OH)",0,25,20,5,0.8000,0,1,1,0
1971-1972,"Miami OH",1275,1971-72,1971,1972,"Darrell Hedric","Miami (OH)",1,24,12,12,0.5000,1,0,0,0
1972-1973,"Miami OH",1275,1972-73,1972,1973,"Darrell Hedric","Miami (OH)",2,27,18,9,0.6667,1,1,1,0
1973-1974,"Miami OH",1275,1973-74,1973,1974,"Darrell Hedric","Miami (OH)",3,26,13,13,0.5000,2,0,0,0
1974-1975,"Miami OH",1275,1974-75,1974,1975,"Darrell Hedric","Miami (OH)",4,26,19,7,0.7308,2,0,0,0
1975-1976,"Miami OH",1275,1975-76,1975,1976,"Darrell Hedric","Miami (OH)",5,26,18,8,0.6923,2,0,0,0
1976-1977,"Miami OH",1275,1976-77,1976,1977,"Darrell Hedric","Miami (OH)",6,26,20,6,0.7692,2,0,0,0
1977-1978,"Miami OH",1275,1977-78,1977,1978,"Darrell Hedric","Miami (OH)",7,28,19,9,0.6786,2,1,1,0
1978-1979,"Miami OH",1275,1978-79,1978,1979,"Darrell Hedric","Miami (OH)",8,27,9,18,0.3333,3,0,0,0
1979-1980,"Miami OH",1275,1979-80,1979,1980,"Darrell Hedric","Miami (OH)",9,27,9,18,0.3333,3,0,0,0
1980-1981,"Miami OH",1275,1980-81,1980,1981,"Darrell Hedric","Miami (OH)",10,26,11,15,0.4231,3,0,0,0
1981-1982,"Miami OH",1275,1981-82,1981,1982,"Darrell Hedric","Miami (OH)",11,27,11,16,0.4074,3,0,0,0
1982-1983,"Miami OH",1275,1982-83,1982,1983,"Darrell Hedric","Miami (OH)",12,28,13,15,0.4643,3,0,0,0
1983-1984,"Miami OH",1275,1983-84,1983,1984,"Darrell Hedric","Miami (OH)",13,30,24,6,0.8000,3,1,1,1
1986-1987,Minnesota,1278,1986-87,1986,1987,"Clem Haskins",Minnesota,6,28,9,19,0.3214,2,0,0,0
1987-1988,Minnesota,1278,1987-88,1987,1988,"Clem Haskins",Minnesota,7,28,10,18,0.3571,2,0,0,0
1988-1989,Minnesota,1278,1988-89,1988,1989,"Clem Haskins",Minnesota,8,31,19,12,0.6129,2,1,0,0
1989-1990,Minnesota,1278,1989-90,1989,1990,"Clem Haskins",Minnesota,9,32,23,9,0.7188,3,1,0,0
1990-1991,Minnesota,1278,1990-91,1990,1991,"Clem Haskins",Minnesota,10,28,12,16,0.4286,4,0,0,0
1991-1992,Minnesota,1278,1991-92,1991,1992,"Clem Haskins",Minnesota,11,32,16,16,0.5000,4,0,0,0
1992-1993,Minnesota,1278,1992-93,1992,1993,"Clem Haskins",Minnesota,12,32,22,10,0.6875,4,0,0,0
1993-1994,Minnesota,1278,1993-94,1993,1994,"Clem Haskins",Minnesota,13,35,22,13,0.6286,4,1,0,0
1994-1995,Minnesota,1278,1994-95,1994,1995,"Clem Haskins",Minnesota,14,32,19,13,0.5938,5,1,0,0
1995-1996,Minnesota,1278,1995-96,1995,1996,"Clem Haskins",Minnesota,15,32,19,13,0.5938,6,0,0,0
1996-1997,Minnesota,1278,1996-97,1996,1997,"Clem Haskins",Minnesota,16,35,31,4,0.8857,6,1,1,0
1997-1998,Minnesota,1278,1997-98,1997,1998,"Clem Haskins",Minnesota,17,35,20,15,0.5714,7,0,0,0
1998-1999,Minnesota,1278,1998-99,1998,1999,"Clem Haskins",Minnesota,18,28,17,11,0.6071,7,1,0,0
1999-1900,Minnesota,1278,1999-00,1999,1900,"Dan Monson",Minnesota,2,28,12,16,0.4286,1,0,0,0
2000-2001,Minnesota,1278,2000-01,2000,2001,"Dan Monson",Minnesota,3,32,18,14,0.5625,1,0,0,0
2001-2002,Minnesota,1278,2001-02,2001,2002,"Dan Monson",Minnesota,4,31,18,13,0.5806,1,0,0,0
2002-2003,Minnesota,1278,2002-03,2002,2003,"Dan Monson",Minnesota,5,33,19,14,0.5758,1,0,0,0
2003-2004,Minnesota,1278,2003-04,2003,2004,"Dan Monson",Minnesota,6,30,12,18,0.4000,1,0,0,0
2004-2005,Minnesota,1278,2004-05,2004,2005,"Dan Monson",Minnesota,7,32,21,11,0.6563,1,1,0,0
2005-2006,Minnesota,1278,2005-06,2005,2006,"Dan Monson",Minnesota,8,31,16,15,0.5161,2,0,0,0
2006-2007,Minnesota,1278,2006-07,2006,2007,"Dan Monson",Minnesota,9,7,2,5,0.2857,2,0,0,0
1983-1984,"Missouri St",1283,1983-84,1983,1984,"Charles Spoonhour","Missouri State",0,28,18,10,0.6429,0,0,0,0
1984-1985,"Missouri St",1283,1984-85,1984,1985,"Charles Spoonhour","Missouri State",1,30,17,13,0.5667,0,0,0,0
1985-1986,"Missouri St",1283,1985-86,1985,1986,"Charles Spoonhour","Missouri State",2,32,24,8,0.7500,0,0,0,0
1986-1987,"Missouri St",1283,1986-87,1986,1987,"Charles Spoonhour","Missouri State",3,34,28,6,0.8235,0,1,1,1
1987-1988,"Missouri St",1283,1987-88,1987,1988,"Charles Spoonhour","Missouri State",4,29,22,7,0.7586,1,1,1,0
1988-1989,"Missouri St",1283,1988-89,1988,1989,"Charles Spoonhour","Missouri State",5,31,21,10,0.6774,2,1,1,1
1989-1990,"Missouri St",1283,1989-90,1989,1990,"Charles Spoonhour","Missouri State",6,29,22,7,0.7586,3,1,1,0
1990-1991,"Missouri St",1283,1990-91,1990,1991,"Charles Spoonhour","Missouri State",7,34,22,12,0.6471,4,0,0,0
1991-1992,"Missouri St",1283,1991-92,1991,1992,"Charles Spoonhour","Missouri State",8,31,23,8,0.7419,4,1,0,1
2008-2009,"Missouri St",1283,2008-09,2008,2009,"Cuonzo Martin","Missouri State",0,31,11,20,0.3548,0,0,0,0
